indelsubtype	indeltype_short	type
G|[+C]Rep=9|G	[+C]Rep=9	Ins
G|[+C]Rep=9|T	[+C]Rep=9	Ins
T|[+C]Rep=9|A	[+C]Rep=9	Ins
T|[+C]Rep=9|G	[+C]Rep=9	Ins
T|[+C]Rep=9|T	[+C]Rep=9	Ins
A|[+T]Rep=0|A	[+T]Rep=0	Ins
A|[+T]Rep=0|C	[+T]Rep=0	Ins
A|[+T]Rep=0|G	[+T]Rep=0	Ins
C|[+T]Rep=0|A	[+T]Rep=0	Ins
C|[+T]Rep=0|C	[+T]Rep=0	Ins
C|[+T]Rep=0|G	[+T]Rep=0	Ins
G|[+T]Rep=0|A	[+T]Rep=0	Ins
G|[+T]Rep=0|C	[+T]Rep=0	Ins
G|[+T]Rep=0|G	[+T]Rep=0	Ins
A|[+T]Rep=1|A	[+T]Rep=1	Ins
A|[+T]Rep=1|C	[+T]Rep=1	Ins
A|[+T]Rep=1|G	[+T]Rep=1	Ins
C|[+T]Rep=1|A	[+T]Rep=1	Ins
C|[+T]Rep=1|C	[+T]Rep=1	Ins
C|[+T]Rep=1|G	[+T]Rep=1	Ins
G|[+T]Rep=1|A	[+T]Rep=1	Ins
G|[+T]Rep=1|C	[+T]Rep=1	Ins
G|[+T]Rep=1|G	[+T]Rep=1	Ins
A|[+T]Rep=2|A	[+T]Rep=2	Ins
A|[+T]Rep=2|C	[+T]Rep=2	Ins
A|[+T]Rep=2|G	[+T]Rep=2	Ins
C|[+T]Rep=2|A	[+T]Rep=2	Ins
C|[+T]Rep=2|C	[+T]Rep=2	Ins
C|[+T]Rep=2|G	[+T]Rep=2	Ins
G|[+T]Rep=2|A	[+T]Rep=2	Ins
G|[+T]Rep=2|C	[+T]Rep=2	Ins
G|[+T]Rep=2|G	[+T]Rep=2	Ins
A|[+T]Rep=3|A	[+T]Rep=3	Ins
A|[+T]Rep=3|C	[+T]Rep=3	Ins
A|[+T]Rep=3|G	[+T]Rep=3	Ins
C|[+T]Rep=3|A	[+T]Rep=3	Ins
C|[+T]Rep=3|C	[+T]Rep=3	Ins
C|[+T]Rep=3|G	[+T]Rep=3	Ins
G|[+T]Rep=3|A	[+T]Rep=3	Ins
G|[+T]Rep=3|C	[+T]Rep=3	Ins
G|[+T]Rep=3|G	[+T]Rep=3	Ins
A|[+T]Rep=4|A	[+T]Rep=4	Ins
A|[+T]Rep=4|C	[+T]Rep=4	Ins
A|[+T]Rep=4|G	[+T]Rep=4	Ins
C|[+T]Rep=4|A	[+T]Rep=4	Ins
C|[+T]Rep=4|C	[+T]Rep=4	Ins
C|[+T]Rep=4|G	[+T]Rep=4	Ins
G|[+T]Rep=4|A	[+T]Rep=4	Ins
G|[+T]Rep=4|C	[+T]Rep=4	Ins
G|[+T]Rep=4|G	[+T]Rep=4	Ins
A|[+T]Rep=5|A	[+T]Rep=5	Ins
A|[+T]Rep=5|C	[+T]Rep=5	Ins
